type,value,confidence
domain,125.44.210.248:51595,high
domain,z-sercem.pl,high
domain,decorandmorela1.com,high
domain,182.119.63.27:39179,high
domain,175.174.85.141:36983,high
domain,42.85.190.92:33592,high
domain,123.9.223.212:35721,high
domain,103.245.231.248,high
domain,46.8.120.153:8080,high
domain,196.188.80.3:43158,high
domain,117.209.94.178:59227,high
domain,182.121.251.227:54188,high
domain,123.134.2.77:50166,high
domain,61.52.96.7:34267,high
domain,93.123.118.21,high
domain,42.227.239.156:49214,high
domain,196.189.69.192:52161,high
domain,103.77.214.206,high
domain,adflowtube.com,high
domain,2.55.101.94:802,high
domain,115.55.248.125:53972,high
domain,27.223.39.1:55652,high
domain,219.154.174.30:60039,high
domain,222.137.211.125:60249,high
domain,123.14.190.6:33466,high
domain,125.47.90.70:33768,high
domain,219.157.21.7:57128,high
domain,60.23.120.222:37791,high
domain,27.37.83.129:38495,high
domain,42.236.212.49:40105,high
domain,222.137.123.96:37400,high
domain,182.173.199.8:52868,high
domain,123.5.156.159:42425,high
domain,119.183.196.178:58657,high
domain,123.12.99.100:59769,high
domain,42.233.105.185:44393,high
domain,59.47.190.210:42509,high
domain,115.50.3.31:50262,high
domain,117.216.196.146:37323,high
domain,182.115.192.201:35897,high
domain,fumot-12000.de,high
domain,42.227.204.145:44131,high
domain,219.157.33.52:60588,high
domain,www.prestamo-efectivo-interbank-enlinea.savvysalon.com,high
domain,182.127.127.152:46322,high
domain,117.209.119.15:44957,high
domain,222.142.197.236:43419,high
domain,117.209.80.25:55657,high
domain,59.183.116.22:50211,high
domain,171.235.113.237:1497,high
domain,90.8.83.87:82,high
domain,117.209.85.52:47783,high
domain,175.167.67.217:35606,high
domain,84.1.110.226:13619,high
domain,88.247.222.82:40178,high
domain,115.50.45.89:39948,high
domain,182.116.49.118:52494,high
domain,abcocomputers.com,high
domain,117.211.35.34:2003,high
domain,182.116.51.103:36856,high
domain,77.181.16.34:8080,high
domain,47.86.5.176:60114,high
domain,coinbase-ens-umso.webflow.io,high
domain,1.94.239.203:9999,high
domain,bot.orcacrash.site,high
domain,59.182.155.44:2000,high
domain,123.12.43.152:50305,high
domain,193.109.44.54,high
domain,182.127.6.89:36890,high
domain,102.53.15.17,high
domain,113.228.242.111:36678,high
domain,112.253.131.89:48991,high
domain,86.120.181.49:6202,high
domain,123.185.26.57:42616,high
